inference-1  | 2026-03-01 04:48:49,921 INFO 172.18.0.4 - - [01/Mar/2026 04:48:49] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:53,657 INFO 127.0.0.1 - - [01/Mar/2026 04:48:53] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:54,921 INFO 172.18.0.4 - - [01/Mar/2026 04:48:54] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:58,840 INFO 127.0.0.1 - - [01/Mar/2026 04:48:58] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:48:59,922 INFO 172.18.0.4 - - [01/Mar/2026 04:48:59] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:04,024 INFO 127.0.0.1 - - [01/Mar/2026 04:49:04] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:04,921 INFO 172.18.0.4 - - [01/Mar/2026 04:49:04] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:09,204 INFO 127.0.0.1 - - [01/Mar/2026 04:49:09] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:09,921 INFO 172.18.0.4 - - [01/Mar/2026 04:49:09] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:14,389 INFO 127.0.0.1 - - [01/Mar/2026 04:49:14] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:14,921 INFO 172.18.0.4 - - [01/Mar/2026 04:49:14] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:19,537 INFO 127.0.0.1 - - [01/Mar/2026 04:49:19] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:19,922 INFO 172.18.0.4 - - [01/Mar/2026 04:49:19] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:24,697 INFO 127.0.0.1 - - [01/Mar/2026 04:49:24] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:24,922 INFO 172.18.0.4 - - [01/Mar/2026 04:49:24] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:29,841 INFO 127.0.0.1 - - [01/Mar/2026 04:49:29] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:29,922 INFO 172.18.0.4 - - [01/Mar/2026 04:49:29] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:34,921 INFO 172.18.0.4 - - [01/Mar/2026 04:49:34] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:34,975 INFO 127.0.0.1 - - [01/Mar/2026 04:49:34] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:39,920 INFO 172.18.0.4 - - [01/Mar/2026 04:49:39] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:40,131 INFO 127.0.0.1 - - [01/Mar/2026 04:49:40] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:44,920 INFO 172.18.0.4 - - [01/Mar/2026 04:49:44] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:45,271 INFO 127.0.0.1 - - [01/Mar/2026 04:49:45] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:49,920 INFO 172.18.0.4 - - [01/Mar/2026 04:49:49] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:50,403 INFO 127.0.0.1 - - [01/Mar/2026 04:49:50] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:54,920 INFO 172.18.0.4 - - [01/Mar/2026 04:49:54] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:55,532 INFO 127.0.0.1 - - [01/Mar/2026 04:49:55] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:49:59,920 INFO 172.18.0.4 - - [01/Mar/2026 04:49:59] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:50:00,656 INFO 127.0.0.1 - - [01/Mar/2026 04:50:00] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:50:04,920 INFO 172.18.0.4 - - [01/Mar/2026 04:50:04] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:50:05,789 INFO 127.0.0.1 - - [01/Mar/2026 04:50:05] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:50:09,921 INFO 172.18.0.4 - - [01/Mar/2026 04:50:09] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:50:10,930 INFO 127.0.0.1 - - [01/Mar/2026 04:50:10] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:50:14,920 INFO 172.18.0.4 - - [01/Mar/2026 04:50:14] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:50:16,063 INFO 127.0.0.1 - - [01/Mar/2026 04:50:16] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:50:19,921 INFO 172.18.0.4 - - [01/Mar/2026 04:50:19] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:50:21,181 INFO 127.0.0.1 - - [01/Mar/2026 04:50:21] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:50:24,922 INFO 172.18.0.4 - - [01/Mar/2026 04:50:24] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:50:26,319 INFO 127.0.0.1 - - [01/Mar/2026 04:50:26] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:50:29,921 INFO 172.18.0.4 - - [01/Mar/2026 04:50:29] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:50:31,447 INFO 127.0.0.1 - - [01/Mar/2026 04:50:31] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:50:34,920 INFO 172.18.0.4 - - [01/Mar/2026 04:50:34] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:50:36,578 INFO 127.0.0.1 - - [01/Mar/2026 04:50:36] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:50:39,920 INFO 172.18.0.4 - - [01/Mar/2026 04:50:39] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:50:41,700 INFO 127.0.0.1 - - [01/Mar/2026 04:50:41] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:50:44,921 INFO 172.18.0.4 - - [01/Mar/2026 04:50:44] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:50:46,839 INFO 127.0.0.1 - - [01/Mar/2026 04:50:46] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:50:49,920 INFO 172.18.0.4 - - [01/Mar/2026 04:50:49] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:50:51,957 INFO 127.0.0.1 - - [01/Mar/2026 04:50:51] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:50:54,920 INFO 172.18.0.4 - - [01/Mar/2026 04:50:54] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:50:57,120 INFO 127.0.0.1 - - [01/Mar/2026 04:50:57] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:50:59,921 INFO 172.18.0.4 - - [01/Mar/2026 04:50:59] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:51:02,244 INFO 127.0.0.1 - - [01/Mar/2026 04:51:02] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:51:04,920 INFO 172.18.0.4 - - [01/Mar/2026 04:51:04] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:51:07,377 INFO 127.0.0.1 - - [01/Mar/2026 04:51:07] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:51:09,920 INFO 172.18.0.4 - - [01/Mar/2026 04:51:09] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:51:12,490 INFO 127.0.0.1 - - [01/Mar/2026 04:51:12] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:51:14,919 INFO 172.18.0.4 - - [01/Mar/2026 04:51:14] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:51:17,610 INFO 127.0.0.1 - - [01/Mar/2026 04:51:17] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:51:19,920 INFO 172.18.0.4 - - [01/Mar/2026 04:51:19] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:51:22,751 INFO 127.0.0.1 - - [01/Mar/2026 04:51:22] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:51:24,919 INFO 172.18.0.4 - - [01/Mar/2026 04:51:24] "GET /metrics HTTP/1.1" 200 -
